,name,0,count
1917,Tora Sushi,1,1
1916,Top Shanghai Cuisine Restaurant,1,1
1881,The Ugly Dumpling,1,1
1879,The Teahouse,1,1
1544,Shang Noodle House,1,1
1845,The Mexican Antojitos y Cantina,1,1
1843,The MacKenzie Room,1,1
1841,The Lion's Den Cafe,1,1
1840,The Kitchen,1,1
1839,The Keg Steakhouse + Bar Alberni Street,1,1
1838,The Keg Steakhouse + Bar - Yaletown,1,1
1837,The Keg Steakhouse + Bar - Dunsmuir Street,1,1
1834,The Jade Seafood Restaurant,1,1
1833,The Holy Crab,1,1
1832,The Hog Shack,1,1
1831,The Heritage Grill,1,1
1830,The Greek by Anatoli,1,1
1829,The Greek Gastown,1,1
1828,The Greek Corner,1,1
1827,The Great Bangkok Thai,1,1
1826,The Gray Olive Cafeteria,1,1
1825,The Galley Restaurant and Grill,1,1
1824,The Fried Chicken Works Korean,1,1
1823,The Flying Pig Gastown,1,1
1821,The Fish Man,1,1
1820,The Fish Counter,1,1
1819,The Firewood Café,1,1
1818,The Farmers Apprentice,1,1
1817,The Edge,1,1
1816,The Eatery,1,1
1815,The Dundas,1,1
1814,The Dunbar Public House,1,1
1813,The District Brasserie,1,1
1844,The Meat Up,1,1
1846,The Mexican Gourmet,1,1
1878,The TRUE'S TEA,1,1
1847,The Mongolie Grill,1,1
1877,The Surfside Grill,1,1
1876,The Stable House Bistro,1,1
1875,The Spud Shack Fry Co.,1,1
1874,The Spice Route,1,1
1873,The Smoking Dog French Bistro,1,1
1872,The Shellfish Shack,1,1
1871,The Shameful Tiki Room,1,1
1870,The Sea House Fish & Chips,1,1
1869,The Sardine Can,1,1
1868,The Sandbar,1,1
1867,The Rise Eatery,1,1
1866,The Rendezvous Restaurant,1,1
1864,The Red Wagon Cafe,1,1
1863,The Real Chinese Restaurant,1,1
1862,The Ramenman,1,1
1861,The Ramen Butcher,1,1
1860,The Portly Chef,1,1
1859,The Pho'enix Diner,1,1
1858,The Pear Tree,1,1
1857,The Pawn Shop,1,1
1856,The Parlour,1,1
1855,The Park at English Bay,1,1
1853,The One,1,1
1851,The Oakwood,1,1
1850,The Noodle Box,1,1
1849,The Naam,1,1
1848,The Moose,1,1
1948,U & I Thai,1,1
1949,UR Restaurant,1,1
1950,Ukrainian Village Restaurant,1,1
2052,Yuji's from Japan,1,1
2050,Yue Ting Seafood Restaurant,1,1
2049,Yue Restaurant,1,1
2048,Yuan's Shanghai Serendipity Cuisine,1,1
2047,Yu Xiang Yuan Restaurant,1,1
2046,Yu Ki BBQ Kitchen,1,1
2045,Yook Korean Grilled BBQ and Bistro,1,1
2043,Yokozna Sushi,1,1
2042,Yokohama Teppanyaki & Sushi Bar,1,1
2041,Yoko Sushi,1,1
2040,Yianni's Greek Taverna,1,1
2039,Yangmara,1,1
2038,Yanaki Sushi,1,1
2037,Yan's Garden,1,1
2036,Yama Sushi,1,1
2035,Yaletown Brewing Company,1,1
2034,Yah-Yah-Ya,1,1
2033,Yaguchiya Ramen,1,1
2032,Yagoto Sushi Dining,1,1
2031,Yaas Grill House,1,1
2030,Yaas,1,1
2029,Y2 Cafe,1,1
2028,Y Sushi,1,1
2027,Xiaolongkan Hot Pot,1,1
2026,Xiao Jun Meat Skewers,1,1
2024,Woo Korean BBQ,1,1
2023,Wong's Chinese Seafood Restaurant,1,1
2022,Woking Dragon China Bistro,1,1
2051,Yui Japanese Bistro,1,1
2053,Yummy Donair & Kebab,1,1
