,var1,var2,cluster
202,49.2635678,-123.10065130000001,0
201,49.263109899999996,-123.10187379999999,0
174,49.2830915,-123.13563390000002,0
200,49.2631687,-123.10071629999999,0
2155,49.3101566,-123.07905749999999,0
2154,49.2485254,-123.12563020000002,0
198,49.261745,-123.1007497,0
197,49.2613286,-123.1007513,0
195,49.274839,-123.1218884,0
2153,49.338327899999996,-123.1032618,0
194,49.2750611,-123.1210797,0
2152,49.2716489,-123.13485630000001,0
193,49.2751593,-123.1213923,0
192,49.2752946,-123.1211862,0
199,49.262522,-123.1007068,0
139,49.291387,-123.13501640000001,0
2135,49.2680735,-123.1569028,0
2133,49.258542,-123.11491809999998,0
2096,49.2636752,-123.1306845,0
2187,49.3211676,-123.07301310000001,0
2188,49.28070220000001,-123.1319611,0
2094,49.2814902,-123.07776499999999,0
2193,49.3229652,-123.09916650000001,0
2093,49.2578769,-123.1009456,0
2092,49.3511063,-123.2537745,0
2194,49.323397799999995,-123.09948490000002,0
145,49.2607875,-123.1008067,0
144,49.286265500000006,-123.12766129999999,0
2090,49.2788077,-123.12816090000001,0
304,49.2786525,-123.0986447,0
305,49.2786612,-123.0989183,0
142,49.26232520000001,-123.08864369999999,0
141,49.289985200000004,-123.1334918,0
306,49.2786408,-123.0980142,0
307,49.279065700000004,-123.0999382,0
308,49.27935720000001,-123.1002146,0
309,49.2805161,-123.1001666,0
310,49.2802926,-123.1009532,0
311,49.2805359,-123.1010107,0
291,49.232429100000004,-123.09037930000001,0
290,49.2637838,-123.1393347,0
2097,49.2636245,-123.1298503,0
2099,49.2890942,-123.13227320000001,0
2174,49.2756342,-123.13528729999999,0
2131,49.2682325,-123.16698000000001,0
2130,49.2680789,-123.1573053,0
172,49.2710854,-123.1553081,0
2125,49.3115338,-123.0801501,0
2124,49.312583000000004,-123.14264170000001,0
2121,49.2874261,-123.1288848,0
