id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,193,2019-09-07,2.65,1,270
906964,"Amazing, modern, clean apt just off Commercial Dr",4856368,Kris,,Grandview-Woodland,49.27213,-123.0698,Entire home/apt,120,3,149,2020-02-24,1.73,1,310
944021,Modern Serenity - Heart of Yaletown/Downtown,5109267,Grace,,Downtown,49.27805,-123.11794,Entire home/apt,130,90,4,2014-01-03,0.04,1,365
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,491,30,10,2013-08-16,0.11,7,365
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.07,4,0
961831,Spacious Room in Character Home,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,70,4,8,2021-06-21,1.51,2,279
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.27489,-123.12654,Entire home/apt,70,30,7,2015-10-01,0.09,46,46
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.28006,-123.12673,Entire home/apt,61,30,1,2013-09-17,0.01,46,3
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28837,-123.12766,Entire home/apt,88,30,12,2020-10-17,0.25,46,6
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.27804,-123.12531,Entire home/apt,280,180,2,2014-05-08,0.02,2,365
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!,5539641,Selina,,Downtown,49.27828,-123.12671,Entire home/apt,180,180,1,2013-06-02,0.01,2,365
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,70,2,276,2020-10-30,5.55,1,65
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,70,30,100,2021-04-30,1.53,2,13
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.27703,-123.12692,Entire home/apt,70,30,138,2020-04-19,1.59,2,195
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,95,2,57,2020-09-30,1.39,1,297
1090662,FURNISHED 1 BED + DEN IN YALETOWN,5992916,Natalia,,Downtown,49.27613,-123.12389,Entire home/apt,75,360,0,,,1,365
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29258,-123.13446,Entire home/apt,69,30,11,2014-06-01,0.22,46,30
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26008,-123.15989,Entire home/apt,729,5,36,2019-06-30,0.84,1,32
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,,West End,49.28239,-123.13021,Private room,85,30,58,2019-08-18,1.23,3,365
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28119,-123.12033,Entire home/apt,159,30,1,2019-07-08,0.04,2,365
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,180,3,261,2019-09-21,2.72,1,269
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,76,2,38,2019-08-31,1.05,1,18
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,149,3,194,2019-09-01,2.22,1,58
1223989,Stunning Suite Heart of DT w/Parking and Office,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,130,90,101,2017-05-17,1.63,1,206
1229714,Luxury apartment Downtown Vancouver,1200456,Nala,,Downtown,49.28361,-123.11536,Entire home/apt,283,30,3,2019-06-23,0.12,7,365
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.28478,-123.1192,Private room,155,2,437,2020-03-06,5.23,2,234
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,184,30,38,2016-06-25,0.39,2,187
1316419,120 501 Pacific,600607,Bruce,,Downtown,49.28279,-123.1222,Entire home/apt,71,181,2,2014-07-01,0.02,46,364
1316477,224 Yaletown Park.  Long term stay welcome,600607,Bruce,,Downtown,49.27859,-123.11993,Entire home/apt,80,90,7,2020-09-30,0.12,46,127
1343411,Close to Anywhere: Location Location Location,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-01,1.74,1,0
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,,West End,49.28247,-123.13068,Private room,85,30,64,2019-08-20,1.17,3,365
1360765,Ultra Modern Apartment in Yaletow,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,97,30,111,2016-06-08,1.31,3,309
1361276,Private space in heritage home in lovely area,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,150,14,15,2019-03-12,0.27,4,26
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,240,3,106,2020-03-11,2.36,1,220
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,Brian,,West Point Grey,49.26026,-123.20135,Entire home/apt,101,1,71,2020-09-13,1.49,2,216
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,,Arbutus Ridge,49.23968,-123.16762,Entire home/apt,104,31,86,2019-11-29,0.89,1,286
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,8,2016-07-08,0.11,1,172
1417881,Renovated Character Home - 3 Bdrm,7499193,Tracey,,Grandview-Woodland,49.26732,-123.06827,Entire home/apt,399,7,42,2020-11-01,0.48,2,292
1466647,One Bedroom & Secured Underground Parking,7856227,Christian,,Downtown Eastside,49.28164,-123.11006,Entire home/apt,199,30,14,2019-06-05,0.17,1,89
1479325,High-end Luxury in the West End,483861,Pat And Walter,,West End,49.2799,-123.13372,Entire home/apt,139,30,52,2020-04-19,1.13,2,147
1502887,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,600607,Bruce,,Downtown,49.29014,-123.12716,Entire home/apt,91,180,5,2018-12-01,0.05,46,74
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,90,3,260,2021-05-08,4.40,2,307
1525113,"114 Studio ""West of Denman""",600607,Bruce,,West End,49.29101,-123.14085,Entire home/apt,67,30,8,2014-07-27,0.23,46,117
1565861,Deluxe Kitsilano Beach Waterfront 2 Bedroom House,8328973,Adam,,Kitsilano,49.27383,-123.15362,Entire home/apt,450,5,73,2019-08-15,0.99,1,157
1610084,Lakeside Cottage with Stunning View,8556789,Lana,,Kensington-Cedar Cottage,49.25936,-123.06131,Entire home/apt,155,2,136,2020-09-28,1.91,1,91
1623556,Private top floor on vibrant Main St,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,88,1,243,2019-08-02,3.29,1,247
1629426,In the heart of the city,8368718,Yvonne,,Downtown,49.27643,-123.12181,Entire home/apt,76,30,124,2018-08-31,1.78,4,20
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,75,30,132,2021-01-08,2.11,1,322
1657214,"Amazing 2000sqft Downtown loft, 3 patios + Parking",8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,90,5,2021-05-08,0.05,1,356
1678734,"Bright, Modern Space on Beautiful Park",1896075,Jen & Jean,,Kensington-Cedar Cottage,49.253,-123.0657,Entire home/apt,125,3,61,2020-02-29,2.68,1,187
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,150,2,262,2020-09-02,2.93,1,2
1736349,Master bedroom + private bathroom + secure parking,6120439,Kerry,,Kensington-Cedar Cottage,49.25349,-123.07603,Private room,100,3,101,2019-09-01,2.19,2,0
1778529,Yaletown high rise studio,4795850,Nolan &  Michelle Musey,,Downtown,49.27695,-123.11922,Entire home/apt,76,30,123,2016-04-05,1.42,2,326
